id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6985524,Superbe 3 pièces au cœur de Paris,5150379,Farouk & Sonia,,Batignolles-Monceau,48.87967517830052,2.2821141358249246,Entire home/apt,125,7,0,,,1,28
6664645,Agréable 2 pièces aux batignolles.,34886875,Juliano,,Batignolles-Monceau,48.886073357551304,2.3178708137723563,Entire home/apt,50,2,16,2016-06-26,1.37,1,46
4234520,"◄Indulge Quartier ""des Batignolles""",5474622,Bebi,,Batignolles-Monceau,48.883484306059124,2.318087555056769,Entire home/apt,80,2,30,2016-06-28,1.45,4,144
2638974,Nice and cosy near Saint lazare,13513562,Marine,,Batignolles-Monceau,48.88506394670665,2.3237689385965106,Entire home/apt,58,2,3,2015-07-09,0.23,3,365
6658632,Lovely flat in Batignolles,10580633,Camille,,Batignolles-Monceau,48.88616916552427,2.3206138993062244,Entire home/apt,55,1,3,2015-06-26,0.23,1,0
12949889,Lovely 106m2 Batignolles in Paris,35765429,Julien,,Batignolles-Monceau,48.88641384802497,2.3105615475338057,Entire home/apt,89,1,0,,,2,360
11112117,Chambre avec vue incroyable,13730647,Quentin,,Batignolles-Monceau,48.881122312820175,2.289840372390901,Entire home/apt,75,1,0,,,2,365
13205647,appartement spacieux dans paris,17708243,Jean,,Batignolles-Monceau,48.89350426747958,2.3154087938357955,Entire home/apt,120,1,3,2016-06-17,3,1,17
3637834,Appartement Paris 17e,4240959,Gary,,Batignolles-Monceau,48.885514412749146,2.3060811878909093,Entire home/apt,80,1,1,2016-03-18,0.28,1,365
6123979,Superbe appartement Villiers,30283793,Maud,,Batignolles-Monceau,48.883856812316715,2.315720725125765,Entire home/apt,111,2,14,2016-06-19,1.02,1,363
1274691,Estudio near montmartre,6937994,Juan Carlos,,Batignolles-Monceau,48.894076876859295,2.324786070112516,Private room,75,1,0,,,1,365
7373489,Grande chambre avec sdb dans le 17e,29938984,Nicolas,,Batignolles-Monceau,48.882904479179025,2.2933653906430362,Private room,45,1,0,,,3,0
10049009,Modern flat near Arc de Triomphe,29798104,FatimaZahra,,Batignolles-Monceau,48.876576284481345,2.2932957183839524,Entire home/apt,100,1,3,2016-06-20,0.98,1,363
6987254,Parc Monceau,16715794,Amaury,,Batignolles-Monceau,48.88231518067536,2.302198181412258,Entire home/apt,112,1,0,,,1,0
12553478,Charmant studio tout équipé,68039542,Saly,,Batignolles-Monceau,48.89032737238977,2.317450345762369,Entire home/apt,60,1,0,,,1,329
1052656,Very chic appt for 6 Monceau /Levis,5796291,Anne Et Fréderic,,Batignolles-Monceau,48.882846115883254,2.3169383933685417,Entire home/apt,160,5,2,2015-07-31,0.16,1,46
3018762,Delightful Home + Garden -Paris17th,3183980,Tim & Jen,,Batignolles-Monceau,48.881935201515596,2.3159510989296592,Entire home/apt,99,2,8,2015-10-07,0.40,1,188
6374540,Nice 45m2 flat near Montmartre,33219137,Florie,,Batignolles-Monceau,48.89244078815394,2.326487713961158,Entire home/apt,65,1,2,2015-06-05,0.15,1,365
1482365,1BR+sofa/Batignolles/Lovely balcony,5733549,Philippe,,Batignolles-Monceau,48.88899647796795,2.318331641019969,Entire home/apt,76,7,0,,,1,356
13589417,Appart rue de Levis - Batignolles,9015370,Jenny,,Batignolles-Monceau,48.88195313369377,2.3151326356427613,Entire home/apt,70,5,0,,,1,307
12922747,Beau studio au cœur des batignolles,70902943,Valentin,,Batignolles-Monceau,48.884889206788365,2.326212100709133,Entire home/apt,60,1,3,2016-06-25,3,1,365
827857,Cosy 1bed Opéra–Montmartre–Elysee,4340796,Charles,,Batignolles-Monceau,48.88630045939975,2.3178474421470585,Entire home/apt,72,2,16,2016-05-30,0.38,1,365
8823276,le romantique des batignolles,46217703,Agnès,,Batignolles-Monceau,48.88583691099331,2.3187635167926626,Entire home/apt,65,1,0,,,2,0
13707035,"Bel appart lumineux à Paris 17ème, 5ème ascenseur",75935083,Isabelle,,Batignolles-Monceau,48.89364274362985,2.3233449897202196,Private room,70,2,0,,,2,16
